view oth element,check,xP4]utt number,utt proposition number,proposition type,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in
,,226.00 ,1,existence,index finger,(---),,,
,,226.00 ,2,existence,mouth,(---),,,
,,226.00 ,3,existence,q,(---),,,
,,227.00 ,1,existence,q,(---),,,
,,228.00 ,1,existence,roof,(---),,,
,,228.00 ,2,existence,bumper,(---),,,
,,228.00 ,3,existence,wheel,(---),,,
,,229.00 ,1,transform,(someone),PICK UP ,(something),,
,,229.00 ,2,transform,(someone),HOLD,(something),,
,,229.00 ,3,transform,(someone),PICK UP,(something),,
,,229.00 ,4,transform,(someone),PUT DOWN,(something),,
,,229.00 ,5,transform,(someone),PICK UP,(something),,
,,229.00 ,6,transform,(someone),PICK UP,(something),,
,,229.00 ,7,descriptor,(q),EXIST FLAT SHAPE,,,
,,229.00 ,8,transform,(someone),PICK UP,(toy),,
,,229.00 ,9,transform,(someone),PUT DOWN,(toy),,
,,229.00 ,10,transform,(someone),PICK UP,(toy),,
,,229.00 ,11,transfer,(someone),MOVE TO,(key???),(wind-up toy??),
,,229.00 ,12,transform,(someone),ROTATE,(key??),,
,,229.00 ,13,descriptor,left palm,EXTENT PALM,,,
,,230.00 ,1,descriptor,left palm,EXIST FLAT SHAPE,,,
,,230.00 ,2,existence,experimenter,(---),,,
,,230.50 ,1,perform,snail,GO UP AND DOWN,,,
,,231.00 ,1,perform,(snail head),GO UP AND DOWN,,,
,,232.00 ,1,perform,(duck’s head),GO BACK AND FORTH,,,
,,233.00 ,1,no prop,,,,,
,,234.00 ,1,transfer,(someone),GIVE,(toys),(aysenur),
,,235.00 ,1,transfer,(someone),GIVE,(toys),self,
,,236.00 ,1,transfer,experimenter,GIVE,(toy),(aysenur),
,,237.00 ,1,transfer,experimenter ,GIVE,q,(aysenur),
,,238.00 ,1,no prop,,,,,
,,239.00 ,1,existence,q1,(---),,,
,,239.00 ,2,existence,q2,(---),,,
,,240.00 ,1,existence,q1,(---),,,
,,240.00 ,2,existence,q2,(---),,,
,,241.00 ,1,existence,q,(---),,,
,,241.00 ,2,transfer,(aysenur),MOVE UP,(ladybug),(hand),
,,241.00 ,3,transform,(aysenur),STROKE,(ladybug wheels),,
,,242.00 ,1,transfer,(someone),GIVE,(toys),(aysenur),
,,243.00 ,1,transform,(experimenter),PUT DOWN,(toy),,
,,244.00 ,1,descriptor,(bag),EXIST SHAPE,,,
,,244.00 ,2,transform,(someone),HOLD,(bag),,
,,244.00 ,3,transform,(someone),PULL APART,(bag),,
,,245.00 ,1,existence,bag,(---),,,
,,245.00 ,2,transform,(someone),PINCH,(plunger),,
,,245.00 ,3,transform,(someone),PINCH,(plunger),,
,,245.00 ,4,existence,experimenter,(---),,,
,,245.00 ,5,existence,self,(---),,,
,,246.00 ,1,existence,bag,(---),,,
,,246.00 ,2,existence,self,(---),,,
,,247.00 ,1,existence,bag,(---),,,
,,247.00 ,2,existence,self,(---),,,
,,248.00 ,1,transfer,(experimenter),(give),(toy),self,
,,249.00 ,1,existence,self,(---),,,
,,250.00 ,1,existence,self,(---),,,
