xP4]utt number,xP4]subjses,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in,view oth element,xP4]utt number,utt proposition number,proposition type
,,,50,5,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,6,girl rabbit,en3,seq (-),,,,,,,,,
,,,50,7,EXTENT WALL,de4,seq (-),,,,,,,,,
,,,50,8,mother,sim3,end (•),,,,,,,,,
50.00 ,TDC101 S02 child,,50,1,blue,en1,seq (-),(wall),EXTENT WALL,,,,,50.00 ,4,descriptor
,,,50,2,self,en2,seq (-),,,,,,,,,
,,,50,3,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,4,self,en2,sim (+),,,,,,,,,
,,,50,5,boy rabbit,sim2,seq (-),,,,,,,,,
,,,50,6,girl rabbit,en3,seq (-),,,,,,,,,
,,,50,7,EXTENT WALL,de4,seq (-),,,,,,,,,
,,,50,8,mother,sim3,end (•),,,,,,,,,
51.00 ,TDC101 S02 child,,51,1,mother,en,sim (+),mother,CONNECTED,,,,(aysenur),51.00 ,1,descriptor
,,,51,2,CONNECTED,de,end (•),,,,,,,,,
52.00 ,TDC101 S02 child,,52,1,wobble,wobble,end (•),,,,,,,52.00 ,1,no prop
53.00 ,TDC101 S02 child,,53,1,girl rabbit,en,seq (-),girl rabbit,(IS LIKE),q,,,,53.00 ,1,similarity
,,,53,2,girl rabbit,en,seq (-),,,,,,,,,
,,,53,3,q,sim,end (•),,,,,,,,,
54.00 ,TDC101 S02 child,,54,1,boy rabbit,en,seq (-),boy rabbit,(IS LIKE),q,,,,54.00 ,1,similarity
,,,54,2,q,sim,end (•),,,,,,,,,
55.00 ,TDC101 S02 child,,55,1,girl rabbit,en,end (•),girl rabbit,(---),,,,,55.00 ,1,existence
56.00 ,TDC101 S02 child,,56,1,girl rabbit,en1,seq (-),girl rabbit,(IS LIKE),q,,,,56.00 ,1,similarity
,,,56,2,q,sim1,seq (-),,,,,,,,,
,,,56,3,boy rabbit ,en2,seq (-),,,,,,,,,
,,,56,4,q,sim2,seq (-),,,,,,,,,
,,,56,5,girl rabbit,en1,end (•),,,,,,,,,
56.00 ,TDC101 S02 child,,56,1,girl rabbit,en1,seq (-),boy rabbit ,(IS LIKE),q,,,,56.00 ,2,similarity
,,,56,2,q,sim1,seq (-),,,,,,,,,
,,,56,3,boy rabbit ,en2,seq (-),,,,,,,,,
,,,56,4,q,sim2,seq (-),,,,,,,,,
,,,56,5,girl rabbit,en1,end (•),,,,,,,,,
57.00 ,TDC101 S02 child,,57,1,mother,en1/en2,seq (-),mother,(IS LIKE),boy rabbit,,,,57.00 ,1,similarity
,,,57,2,boy rabbit,sim1,seq (-),,,,,,,,,
,,,57,3,mother,en1/en2,seq (-),,,,,,,,,
,,,57,4,girl rabbit,sim2,seq (-),,,,,,,,,
,,,57,5,self,en3,seq (-),,,,,,,,,
,,,57,6,girl rabbit,sim3,seq (-),,,,,,,,,
,,,57,7,girl rabbit,sim3,sim (+),,,,,,,,,
,,,57,8,self,en3,end (•),,,,,,,,,
57.00 ,TDC101 S02 child,,57,1,mother,en1/en2,seq (-),mother,(IS LIKE),girl rabbit,,,,57.00 ,2,similarity
,,,57,2,boy rabbit,sim1,seq (-),,,,,,,,,
,,,57,3,mother,en1/en2,seq (-),,,,,,,,,
,,,57,4,girl rabbit,sim2,seq (-),,,,,,,,,
,,,57,5,self,en3,seq (-),,,,,,,,,
,,,57,6,girl rabbit,sim3,seq (-),,,,,,,,,
,,,57,7,girl rabbit,sim3,sim (+),,,,,,,,,
,,,57,8,self,en3,end (•),,,,,,,,,
57.00 ,TDC101 S02 child,,57,1,mother,en1/en2,seq (-),self,(IS LIKE),girl rabbit,,,,57.00 ,3,similarity
,,,57,2,boy rabbit,sim1,seq (-),,,,,,,,,
,,,57,3,mother,en1/en2,seq (-),,,,,,,,,
,,,57,4,girl rabbit,sim2,seq (-),,,,,,,,,
,,,57,5,self,en3,seq (-),,,,,,,,,
,,,57,6,girl rabbit,sim3,seq (-),,,,,,,,,
,,,57,7,girl rabbit,sim3,sim (+),,,,,,,,,
,,,57,8,self,en3,end (•),,,,,,,,,
58.00 ,TDC101 S02 child,,58,1,hair,en1,seq (-),hair,(IS LIKE),puzzle panel,,,,58.00 ,1,similarity
,,,58,2,puzzle panel,sim1,seq (-),,,,,,,,,
,,,58,3,girl rabbit,po2,seq (-),,,,,,,,,
,,,58,4,girl rabbit,po2,end (•),,,,,,,,,
58.00 ,TDC101 S02 child,,58,1,hair,en1,seq (-),(hair),(BELONGS TO),,girl rabbit,,,58.00 ,2,stat poss
,,,58,2,puzzle panel,sim1,seq (-),,,,,,,,,
,,,58,3,girl rabbit,po2,seq (-),,,,,,,,,
,,,58,4,girl rabbit,po2,end (•),,,,,,,,,
59.00 ,TDC101 S02 child,,59,1,HOLD,ac1,sim (+),(aysenur),HOLD,(paint can),,,,59.00 ,1,transform
,,,59,2,MOVE CIRCLE,ac2,seq (-),,,,,,,,,
,,,59,3,MOVE UP AND DOWN/PAINT,ac3,end (•),,,,,,,,,
59.00 ,TDC101 S02 child,,59,1,HOLD,ac1,sim (+),(aysenur),MOVE CIRCLE,(paintbush),,,,59.00 ,2,transform
,,,59,2,MOVE CIRCLE,ac2,seq (-),,,,,,,,,
,,,59,3,MOVE UP AND DOWN/PAINT,ac3,end (•),,,,,,,,,
59.00 ,TDC101 S02 child,,59,1,HOLD,ac1,sim (+),(aysenur),MOVE UP AND DOWN/PAINT,(paintbrush),,,,59.00 ,3,transform
,,,59,2,MOVE CIRCLE,ac2,seq (-),,,,,,,,,
,,,59,3,MOVE UP AND DOWN/PAINT,ac3,end (•),,,,,,,,,
60.00 ,TDC101 S02 child,,60,1,HOLD,ac1,seq (-),(aysenur),HOLD,(paint tube),,,,60.00 ,1,transform
,,,60,2,left hand,en2,seq (-),,,,,,,,,
,,,60,3,HOLD,ac1,end (•),,,,,,,,,
60.00 ,TDC101 S02 child,,60,1,HOLD,ac1,seq (-),left hand,(---),,,,,60.00 ,2,existence
,,,60,2,left hand,en2,seq (-),,,,,,,,,
,,,60,3,HOLD,ac1,end (•),,,,,,,,,
61.00 ,TDC101 S02 child,,61,1,toys,pa,seq (-),(someone),(give),q,self,,,61.00 ,1,transfer
,,,61,2,self,re,end (•),,,,,,,,,
62.00 ,TDC101 S02 child,,62,1,ROTATE,ac1,sim (+),(aysenur),ROTATE,(toy),,,,62.00 ,1,transform
,,,62,2,HOLD,ac2,end (•),,,,,,,,,
62.00 ,TDC101 S02 child,,62,1,ROTATE,ac1,sim (+),(aysenur),HOLD,(toy),,,,62.00 ,2,transform
