xP4]utt number,xP4]subjses,utterance::time on tape,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,utt proposition number
97,TDC101 S02 child,00:50:37:03,,97,1,instruction sheet 1,en1,seq (-),1
,,,,97,2,instruction sheet 2,en2,seq (-),
,,,,97,3,instruction sheet 3,en3,seq (-),
,,,,97,4,instruction sheet 4,en4,end (•),
97,TDC101 S02 child,00:50:37:03,,97,1,instruction sheet 1,en1,seq (-),2
,,,,97,2,instruction sheet 2,en2,seq (-),
,,,,97,3,instruction sheet 3,en3,seq (-),
,,,,97,4,instruction sheet 4,en4,end (•),
97,TDC101 S02 child,00:50:37:03,,97,1,instruction sheet 1,en1,seq (-),3
,,,,97,2,instruction sheet 2,en2,seq (-),
,,,,97,3,instruction sheet 3,en3,seq (-),
,,,,97,4,instruction sheet 4,en4,end (•),
97,TDC101 S02 child,00:50:37:03,,97,1,instruction sheet 1,en1,seq (-),4
,,,,97,2,instruction sheet 2,en2,seq (-),
,,,,97,3,instruction sheet 3,en3,seq (-),
,,,,97,4,instruction sheet 4,en4,end (•),
98,TDC101 S02 child,00:50:43:11,,98,1,shrug,shrug,end (•),1
99,TDC101 S02 child,00:50:45:15,,99,1,shrug,shrug,end (•),1
100,TDC101 S02 child,00:50:47:11,,100,1,flip,flip,end (•),1
101,TDC101 S02 child,00:51:07:03,,101,1,PUT IN,ac,end (•),1
102,TDC101 S02 child,00:51:21:08,,102,1,laundry line,en,end (•),1
102.5,TDC101 S02 child,00:51:42:23,,102.5,1,image,en,end (•),1
103,TDC101 S02 child,00:51:44:22,,103,1,HOLD,ac1,sim (+),1
,,,,103,2,MOVE CIRCLE,ac2,end (•),
103,TDC101 S02 child,00:51:44:22,,103,1,HOLD,ac1,sim (+),2
,,,,103,2,MOVE CIRCLE,ac2,end (•),
104,TDC101 S02 child,00:52:44:09,,104,1,instruction sheet,en,end (•),1
105,TDC101 S02 child,00:53:16:21,,105,1,pm person,po,sim (+),1
,,,,105,2,pm apron,en,end (•),
105.1,TDC101 S02 child,00:53:23:00,,105.1,1,instruction sheet,en1,seq (-),1
,,,,105.1,2,bucket,en2,seq (-),
,,,,105.1,3,clothespins,en3,end (•),
105.1,TDC101 S02 child,00:53:23:00,,105.1,1,instruction sheet,en1,seq (-),2
,,,,105.1,2,bucket,en2,seq (-),
,,,,105.1,3,clothespins,en3,end (•),
106,TDC101 S02 child,00:53:26:01`,,106,1,instruction sheet,en,end (•),1
107,TDC101 S02 child,00:53:31:16,,107,1,q,q,seq (-),1
,,,,107,2,instruction sheet,en2,end (•),
107,TDC101 S02 child,00:53:31:16,,107,1,q,q,seq (-),2
,,,,107,2,instruction sheet,en2,end (•),
109,TDC101 S02 child,00:53:48:23,,109,1,good,good,end (•),1
109.5,TDC101 S02 child,00:55:05:13,,109.5,1,bag,pa,end (•),1
110,TDC101 S02 child,00:55:42:01,,110,1,self,en,end (•),1
111,TDC101 S02 child,00:56:47:27,,111,1,motorcycle,en,end (•),1
112,TDC101 S02 child,00:57:04:01,,112,1,shrug,shrug,end (•),1
113,TDC101 S02 child,00:57:08:07,,113,1,motorcycle,en,end (•),1
114,TDC101 S02 child,00:57:24:17,,114,1,pm dog,en1,seq (-),1
,,,,114,2,outside,lo2,seq (-),
,,,,114,3,outside,lo2,end (•),
114,TDC101 S02 child,00:57:24:17,,114,1,pm dog,en1,seq (-),2
,,,,114,2,outside,lo2,seq (-),
,,,,114,3,outside,lo2,end (•),
115,TDC101 S02 child,00:57:48:03,,115,1,pm cat,en,abt (•),1
115.5,TDC101 S02 child,00:57:48:29,,115.5,1,wait,wait,end (•),1
116,TDC101 S02 child,00:57:49:16,,116,1,q,q,end (•),1
116.2,TDC101 S02 child,00:57:56:28,,116.2,1,flip,flip,seq (-),1
,,,,116.2,2,flip,flip,end (•),
116.4,TDC101 S02 child,00:58:02:26,,116.4,1,B-rejection,B-rejection,seq (-),1
,,,,116.4,2,PICK UP,ac1,seq (-),
,,,,116.4,3,PUT DOWN,ac2,seq (-),
,,,,116.4,4,RELEASE,ac3,end (•),
116.4,TDC101 S02 child,00:58:02:26,,116.4,1,B-rejection,B-rejection,seq (-),2
,,,,116.4,2,PICK UP,ac1,seq (-),
,,,,116.4,3,PUT DOWN,ac2,seq (-),
,,,,116.4,4,RELEASE,ac3,end (•),
116.4,TDC101 S02 child,00:58:02:26,,116.4,1,B-rejection,B-rejection,seq (-),3
,,,,116.4,2,PICK UP,ac1,seq (-),
,,,,116.4,3,PUT DOWN,ac2,seq (-),
,,,,116.4,4,RELEASE,ac3,end (•),
117,TDC101 S02 child,00:58:08:23,,117,1,flip,flip,seq (-),1
,,,,117,2,PICK UP,ac1,seq (-),
,,,,117,3,PUT DOWN,ac2,seq (-),
,,,,117,4,flip,flip,seq (-),
,,,,117,5,q,q,end (•),
117,TDC101 S02 child,00:58:08:23,,117,1,flip,flip,seq (-),2
,,,,117,2,PICK UP,ac1,seq (-),
,,,,117,3,PUT DOWN,ac2,seq (-),
,,,,117,4,flip,flip,seq (-),
,,,,117,5,q,q,end (•),
118,TDC101 S02 child,00:58:10:16,,118,1,JAB,ac,seq (-),1
,,,,118,2,flip,flip,end (•),
119,TDC101 S02 child,00:58:25:22,,119,1,B-rejection,B-rejection,end (•),1
120,TDC101 S02 child,00:58:27:18,,120,1,q,en,end (•),1
121,TDC101 S02 child,00:58:28:13,,121,1,q,en,end (•),1
122,TDC101 S02 child,00:58:37:01,,122,1,garbage pail and man,en,end (•),1
123,TDC101 S02 child,00:58:45:05,,123,1,PICK UP,ac1,seq (-),1
,,,,123,2,PUT IN,ac2,seq (-),
,,,,123,3,PICK UP,ac1,seq (-),
,,,,123,4,PUT IN,ac2,seq (-),
,,,,123,5,flourish,flourish,end (•),
123,TDC101 S02 child,00:58:45:05,,123,1,PICK UP,ac1,seq (-),2
,,,,123,2,PUT IN,ac2,seq (-),
,,,,123,3,PICK UP,ac1,seq (-),
,,,,123,4,PUT IN,ac2,seq (-),
,,,,123,5,flourish,flourish,end (•),
124,TDC101 S02 child,00:58:49:01,,124,1,shrug,shrug,end (•),1
125,TDC101 S02 child,00:58:50:29,,125,1,garbage pail,en1,sim (+),1
,,,,125,2,pm man,en2,end (•),
125,TDC101 S02 child,00:58:50:29,,125,1,garbage pail,en1,sim (+),2
,,,,125,2,pm man,en2,end (•),
126,TDC101 S02 child,00:58:51:24,,126,1,shrug,shrug,end (•),1
127,TDC101 S02 child,00:59:00:00,,127,1,q,en1,seq (-),1
,,,,127,2,hurdle,re2,seq (-),
,,,,127,3,GO TO,ac2,end (•),
127,TDC101 S02 child,00:59:00:00,,127,1,q,en1,seq (-),2
,,,,127,2,hurdle,re2,seq (-),
,,,,127,3,GO TO,ac2,end (•),
128,TDC101 S02 child,00:59:02:27,,128,1,GO LEFT,ac,seq (-),1
,,,,128,2,hurdle,re,seq (-),
,,,,128,3,good,good,end (•),
129,TDC101 S02 child,00:59:04:15,,129,1,GO UNDER,ac1,seq (-),1
,,,,129,2,GO UNDER,ac1,end (•),
130,TDC101 S02 child,00:59:05:10,,130,1,flip,flip,end (•),1
131,TDC101 S02 child,00:59:07:09,,131,1,bike cover,en,end (•),1
132,TDC101 S02 child,00:59:22:04,,132,1,shrug,shrug,end (•),1
133,TDC101 S02 child,00:59:29:28,,133,1,q,en,end (•),1
134,TDC101 S02 child,00:59:38:27,,134,1,ladder,po,sim (+),1
,,,,134,2,scaffolding,en,seq (-),
,,,,134,3,ladder,po,sim (+),
,,,,134,4,scaffolding,en,end (•),
135,TDC101 S02 child,01:00:18:27,,135,1,flip,flip,end (•),1
136,TDC101 S02 child,01:01:01:13,,136,1,shrug,shrug,end (•),1
137,TDC101 S02 child,01:01:29:00,,137,1,GO BACK AND FORTH,ac,end (•),1
138,TDC101 S02 child,01:01:30:00,,138,1,GIVE,ac,end (•),1
139,TDC101 S02 child,01:01:36:22,,139,1,GO BACK AND FORTH,ac,end (•),1
140,TDC101 S02 child,01:01:39:03,,140,1,pm fish,en,end (•),1
141,TDC101 S02 child,01:01:42:06,,141,1,hand,en,seq (-),1
,,,,141,2,flip,flip,end (•),
142,TDC101 S02 child,01:02:05:26,,142,1,pm man,en,seq (-),1
,,,,142,2,flip,flip,end (•),
143,TDC101 S02 child,01:02:12:04,,143,1,self,en,seq (-),1
,,,,143,2,nod,nod,end (•),
144,TDC101 S02 child,01:02:17:10,,144,1,pm man,en,sim (+),1
,,,,144,2,self,sim,seq (-),
,,,,144,3,pm man,en,sim (+),
,,,,144,4,self,sim,end (•),
145,TDC101 S02 child,01:02:21:26,,145,1,pm man,en1,seq (-),1
,,,,145,2,self,sim1,seq (-),
,,,,145,3,mother,en2,seq (-),
,,,,145,4,pm man,sim2/en3/en4,sim (+),
,,,,145,5,self,sim3,seq (-),
