xP4]utt number,xP4]subjses,utterance::time on tape,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,utt proposition number
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),2
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),3
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),4
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),5
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),6
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),7
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),8
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),9
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),10
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),11
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),12
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
229,TDC101 S02 child,00:23:48:17,,229,1,PICK UP ,ac1,seq (-),13
,,,,229,2,HOLD,ac2,seq (-),
,,,,229,3,PICK UP,ac3,seq (-),
,,,,229,4,PUT DOWN,ac4,seq (-),
,,,,229,5,PICK UP,ac5,seq (-),
,,,,229,6,PICK UP,ac6,seq (-),
,,,,229,7,EXIST FLAT SHAPE,de7,seq (-),
,,,,229,8,PICK UP,ac8,seq (-),
,,,,229,9,PUT DOWN,ac9,seq (-),
,,,,229,10,PICK UP,ac10,seq (-),
,,,,229,11,MOVE TO,ac11,seq (-),
,,,,229,12,ROTATE,ac12,seq (-),
,,,,229,13,left palm,en13,seq (-),
,,,,229,14,left palm,en13,seq (-),
,,,,229,15,left palm,en13,seq (-),
,,,,229,16,left palm,en13,seq (-),
,,,,229,17,EXTENT PALM,de13,end (•),
230,TDC101 S02 child,00:23:50:08,,230,1,EXIST FLAT SHAPE,de1,sim (+),1
,,,,230,2,left palm,en1,seq (-),
,,,,230,3,left palm,en1,seq (-),
,,,,230,4,experimenter,en2,end (•),
230,TDC101 S02 child,00:23:50:08,,230,1,EXIST FLAT SHAPE,de1,sim (+),2
,,,,230,2,left palm,en1,seq (-),
,,,,230,3,left palm,en1,seq (-),
,,,,230,4,experimenter,en2,end (•),
230.5,TDC101 S02 child,00:26:35:18,,230.5,1,GO UP AND DOWN,ac,end (•),1
,,,,230.5,2,snail,ar,end (•),
231,TDC101 S02 child,00:26:38:17,,231,1,GO UP AND DOWN,ac,end (•),1
232,TDC101 S02 child,00:28:12:17,,232,1,GO BACK AND FORTH,ac,end (•),1
233,TDC101 S02 child,00:32:26:10,,233,1,wobble,wobble,end (•),1
234,TDC101 S02 child,00:32:34:24,,234,1,GIVE,ac,end (•),1
235,TDC101 S02 child,00:33:11:28,,235,1,GIVE,ac,seq (-),1
,,,,235,2,self,re,end (•),
236,TDC101 S02 child,00:34:29:04,,236,1,GIVE,ac,seq (-),1
,,,,236,2,experimenter,re,end (•),
237,TDC101 S02 child,00:34:37:17,,237,1,experimenter ,re,seq (-),1
,,,,237,2,toy,pa,seq (-),
,,,,237,3,BRING,ac,end (•),
238,TDC101 S02 child,00:35:27:19,,238,1,wobble,wobble,end (•),1
239,TDC101 S02 child,00:35:54:17,,239,1,q1,en1,seq (-),1
,,,,239,2,q2,en2,end (•),
239,TDC101 S02 child,00:35:54:17,,239,1,q1,en1,seq (-),2
,,,,239,2,q2,en2,end (•),
240,TDC101 S02 child,00:35:56:22,,240,1,q1,en1,seq (-),1
,,,,240,2,q2,en2,end (•),
240,TDC101 S02 child,00:35:56:22,,240,1,q1,en1,seq (-),2
,,,,240,2,q2,en2,end (•),
241,TDC101 S02 child,00:36:25:18,,241,1,q,en1,seq (-),1
,,,,241,2,MOVE UP,ac2,sim (+),
,,,,241,3,STROKE,ac3,end (•),
241,TDC101 S02 child,00:36:25:18,,241,1,q,en1,seq (-),2
,,,,241,2,MOVE UP,ac2,sim (+),
,,,,241,3,STROKE,ac3,end (•),
241,TDC101 S02 child,00:36:25:18,,241,1,q,en1,seq (-),3
,,,,241,2,MOVE UP,ac2,sim (+),
,,,,241,3,STROKE,ac3,end (•),
242,TDC101 S02 child,00:36:43:19,,242,1,GIVE,ac,end (•),1
243,TDC101 S02 child,00:38:05:07,,243,1,PUT DOWN,ac,seq (-),1
,,,,243,2,PUT DOWN,ac,end (•),
244,TDC101 S02 child,00:41:55:19,,244,1,EXIST SHAPE,de1,sim (+),1
,,,,244,2,HOLD,ac2,seq (-),
,,,,244,3,PULL APART,ac3,end (•),
244,TDC101 S02 child,00:41:55:19,,244,1,EXIST SHAPE,de1,sim (+),2
,,,,244,2,HOLD,ac2,seq (-),
,,,,244,3,PULL APART,ac3,end (•),
244,TDC101 S02 child,00:41:55:19,,244,1,EXIST SHAPE,de1,sim (+),3
,,,,244,2,HOLD,ac2,seq (-),
,,,,244,3,PULL APART,ac3,end (•),
245,TDC101 S02 child,00:42:50:24,,245,1,B-rejection,B-rejection,seq (-),1
,,,,245,2,bag,en1,seq (-),
,,,,245,3,bag,en1,seq (-),
,,,,245,4,EXIST SHAPE,de2,seq (-),
,,,,245,5,PINCH,ac3,seq (-),
,,,,245,6,PINCH,ac3,seq (-),
,,,,245,7,PINCH,ac3,seq (-),
,,,,245,8,PINCH,ac3,seq (-),
,,,,245,9,experimenter,en4,seq (-),
,,,,245,10,self,en5,end (•),
245,TDC101 S02 child,00:42:50:24,,245,1,B-rejection,B-rejection,seq (-),2
,,,,245,2,bag,en1,seq (-),
,,,,245,3,bag,en1,seq (-),
,,,,245,4,EXIST SHAPE,de2,seq (-),
,,,,245,5,PINCH,ac3,seq (-),
,,,,245,6,PINCH,ac3,seq (-),
,,,,245,7,PINCH,ac3,seq (-),
,,,,245,8,PINCH,ac3,seq (-),
,,,,245,9,experimenter,en4,seq (-),
,,,,245,10,self,en5,end (•),
245,TDC101 S02 child,00:42:50:24,,245,1,B-rejection,B-rejection,seq (-),3
,,,,245,2,bag,en1,seq (-),
,,,,245,3,bag,en1,seq (-),
,,,,245,4,EXIST SHAPE,de2,seq (-),
,,,,245,5,PINCH,ac3,seq (-),
,,,,245,6,PINCH,ac3,seq (-),
,,,,245,7,PINCH,ac3,seq (-),
,,,,245,8,PINCH,ac3,seq (-),
,,,,245,9,experimenter,en4,seq (-),
,,,,245,10,self,en5,end (•),
245,TDC101 S02 child,00:42:50:24,,245,1,B-rejection,B-rejection,seq (-),4
,,,,245,2,bag,en1,seq (-),
,,,,245,3,bag,en1,seq (-),
,,,,245,4,EXIST SHAPE,de2,seq (-),
,,,,245,5,PINCH,ac3,seq (-),
,,,,245,6,PINCH,ac3,seq (-),
,,,,245,7,PINCH,ac3,seq (-),
,,,,245,8,PINCH,ac3,seq (-),
,,,,245,9,experimenter,en4,seq (-),
,,,,245,10,self,en5,end (•),
245,TDC101 S02 child,00:42:50:24,,245,1,B-rejection,B-rejection,seq (-),5
,,,,245,2,bag,en1,seq (-),
,,,,245,3,bag,en1,seq (-),
,,,,245,4,EXIST SHAPE,de2,seq (-),
,,,,245,5,PINCH,ac3,seq (-),
,,,,245,6,PINCH,ac3,seq (-),
,,,,245,7,PINCH,ac3,seq (-),
,,,,245,8,PINCH,ac3,seq (-),
,,,,245,9,experimenter,en4,seq (-),
,,,,245,10,self,en5,end (•),
246,TDC101 S02 child,00:44:24:07,,246,1,bag,en1,seq (-),1
,,,,246,2,bag,en1,seq (-),
,,,,246,3,bag,en1,seq (-),
,,,,246,4,bag,en1,seq (-),
,,,,246,5,bag,en1,seq (-),
,,,,246,6,bag,en1,seq (-),
,,,,246,7,bag,en1,sim (+),
,,,,246,8,bag,en1,seq (-),
,,,,246,9,bag,en1,seq (-),
,,,,246,10,bag,en1,seq (-),
,,,,246,11,self,en2,end (•),
246,TDC101 S02 child,00:44:24:07,,246,1,bag,en1,seq (-),2
,,,,246,2,bag,en1,seq (-),
,,,,246,3,bag,en1,seq (-),
,,,,246,4,bag,en1,seq (-),
,,,,246,5,bag,en1,seq (-),
,,,,246,6,bag,en1,seq (-),
,,,,246,7,bag,en1,sim (+),
,,,,246,8,bag,en1,seq (-),
,,,,246,9,bag,en1,seq (-),
,,,,246,10,bag,en1,seq (-),
,,,,246,11,self,en2,end (•),
247,TDC101 S02 child,00:44:27:04,,247,1,bag,en1,sim (+),1
,,,,247,2,bag,en1,seq (-),
,,,,247,3,self,en2,seq (-),
,,,,247,4,self,en2,end (•),
247,TDC101 S02 child,00:44:27:04,,247,1,bag,en1,sim (+),2
,,,,247,2,bag,en1,seq (-),
,,,,247,3,self,en2,seq (-),
,,,,247,4,self,en2,end (•),
248,TDC101 S02 child,00:44:38:04,,248,1,self,re,end (•),1
249,TDC101 S02 child,00:46:52:16,,249,1,self,en,end (•),1
250,TDC101 S02 child,00:46:53:18,,250,1,self,en,end (•),1
